LaLiga,2000,Spain,1618403.36,2251222.08
KLeague1,2011,KoreaSouth,23177.84,25567.74
KLeague1,2006,KoreaSouth,66416.67,80743.8
KLeague1,2002,KoreaSouth,4268.29,5669.79
JupilerProLeague,2018,Belgium,291794.87,296349.01
JupilerProLeague,2017,Belgium,254452.38,261898.99
JupilerProLeague,2016,Belgium,248733.51,258828.05
JupilerProLeague,2015,Belgium,152660.1,159253.63
JupilerProLeague,2014,Belgium,120027.7,124998.85
JupilerProLeague,2013,Belgium,122033.9,128165.26
JupilerProLeague,2012,Belgium,121559.89,130498.34
JupilerProLeague,2011,Belgium,123291.93,136004.73
JupilerProLeague,2010,Belgium,88019.8,99251.93
JupilerProLeague,2009,Belgium,72789.7,82832.08
JupilerProLeague,2008,Belgium,94514.11,109334.68
JupilerProLeague,2007,Belgium,82958.2,98946.78
JupilerProLeague,2006,Belgium,105000.0,127650.17
JupilerProLeague,2005,Belgium,55197.13,68626.94
JupilerProLeague,2004,Belgium,38905.11,49512.37
JupilerProLeague,2003,Belgium,37252.25,48366.87
JupilerProLeague,2002,Belgium,44380.95,58953.49
JupilerProLeague,2001,Belgium,82303.92,111621.91
JupilerProLeague,2000,Belgium,44806.87,62326.99
J2 League,2001,Japan,26315.79,35689.9
J1League,2017,Japan,76329.59,78563.39
J1League,2016,Japan,79519.65,82746.86
J1League,2009,Japan,37150.0,42275.37
J1League,2008,Japan,83903.74,97060.53
J1League,2007,Japan,51502.35,61428.42
J1League,2005,Japan,43894.23,54573.97
J1League,2003,Japan,81889.76,106322.47
J1League,2001,Japan,2666.67,3616.58
J1League,2000,Japan,8163.27,11355.22
FortunaLiga,2017,CzechRepublic,61755.73,63563.02
FortunaLiga,2004,CzechRepublic,12373.74,15747.37
FortunaLiga,2003,CzechRepublic,31445.78,40827.98
Eredivisie,2018,Netherlands,301013.07,305711.08
Eredivisie,2017,Netherlands,364391.14,375055.14
Eredivisie,2016,Netherlands,208957.53,217437.81
Eredivisie,2015,Netherlands,202167.83,210899.65
Eredivisie,2014,Netherlands,142166.67,148054.73
Eredivisie,2013,Netherlands,137986.11,144918.96
Eredivisie,2012,Netherlands,180545.45,193821.19
Eredivisie,2011,Netherlands,266949.81,294475.38
Eredivisie,2010,Netherlands,167624.52,189014.93
Eredivisie,2009,Netherlands,222551.44,253255.59
Eredivisie,2008,Netherlands,345164.84,399289.48
Eredivisie,2007,Netherlands,418152.17,498742.87
Eredivisie,2006,Netherlands,208547.85,253534.94
Eredivisie,2005,Netherlands,138941.61,172746.96
Eredivisie,2004,Netherlands,98546.1,125414.15
Eredivisie,2003,Netherlands,147487.92,191492.55
Eredivisie,2002,Netherlands,199336.73,264789.17
Eredivisie,2001,Netherlands,306705.2,415958.57
Eredivisie,2000,Netherlands,274971.43,382489.17
Eliteserien,2012,Norway,51069.52,54824.73
Eliteserien,2007,Norway,72339.18,86281.15
Eliteserien,2006,Norway,107291.67,130436.18
Eliteserien,2004,Norway,48717.95,62000.63
Eliteserien,2003,Norway,25285.71,32829.98
Eliteserien,2002,Norway,13712.12,18214.51
Eliteserien,2001,Norway,8720.93,11827.47
Eliteserien,2000,Norway,41358.02,57529.6
Ekstraklasa,2010,Poland,46537.47,52476.07
Ekstraklasa,2008,Poland,31623.19,36581.96
Ekstraklasa,2005,Poland,24272.15,30177.72
Ekstraklasa,2003,Poland,8177.34,10617.14
Ekstraklasa,2002,Poland,2893.62,3843.74
Ekstraklasa,2000,Poland,6723.16,9352.02
EgyptianPremierLeague,2018,Egypt,139857.72,142040.53
ChineseSuperLeague,2018,China,1604943.18,1629992.03
ChineseSuperLeague,2017,China,935721.65,963105.77
ChineseSuperLeague,2016,China,2710547.26,2820551.47
ChineseSuperLeague,2015,China,2061840.8,2150893.67
ChineseSuperLeague,2014,China,635714.29,662043.44
ChineseSuperLeague,2013,China,403795.92,424083.88
ChineseSuperLeague,2012,China,319350.0,342832.22
ChineseSuperLeague,2011,China,241692.31,266613.54
ChineseSuperLeague,2010,China,115628.42,130383.65
ChinaLeagueOne,2017,China,99259.26,102164.11
ChinaLeagueOne,2016,China,352278.48,366575.27
ChinaLeagueOne,2015,China,353562.5,368833.2
Championship,2018,England,434679.25,441463.42
Championship,2017,England,505319.15,520107.43
Championship,2016,England,601341.26,625745.95
Championship,2015,England,303777.78,316898.23
Championship,2014,England,172896.63,180057.43
Championship,2013,England,60600.0,63644.73
Championship,2012,England,135696.89,145674.85
Championship,2011,England,110258.62,121627.54
Championship,2010,England,88812.03,100145.25
Championship,2009,England,137808.44,156821.09
Championship,2008,England,115643.41,133777.24
Championship,2007,England,197892.31,236032.2
Championship,2006,England,174973.82,212718.45
Championship,2005,England,100131.09,124493.6
Championship,2004,England,50236.56,63933.28
Championship,2003,England,54591.35,70879.27
Championship,2002,England,28515.15,37878.13
Championship,2001,England,214702.55,291183.08
Championship,2000,England,309687.5,430779.71
CampeonatoBrasileiroSérieA,2018,Brazil,185492.75,188387.8
CampeonatoBrasileiroSérieA,2017,Brazil,84103.34,86564.65
CampeonatoBrasileiroSérieA,2016,Brazil,150748.3,156866.23
CampeonatoBrasileiroSérieA,2015,Brazil,93176.62,97201.01
CampeonatoBrasileiroSérieA,2014,Brazil,108064.92,112540.61
CampeonatoBrasileiroSérieA,2013,Brazil,69303.28,72785.29
CampeonatoBrasileiroSérieA,2012,Brazil,155033.47,166433.28
CampeonatoBrasileiroSérieA,2011,Brazil,118451.94,130665.68
CampeonatoBrasileiroSérieA,2010,Brazil,109590.71,123575.48
CampeonatoBrasileiroSérieA,2009,Brazil,49671.26,56524.12
CampeonatoBrasileiroSérieA,2008,Brazil,27921.94,32300.33
CampeonatoBrasileiroSérieA,2007,Brazil,19173.36,22868.66
CampeonatoBrasileiroSérieA,2006,Brazil,49823.43,60571.14
CampeonatoBrasileiroSérieA,2005,Brazil,61578.95,76561.49
CampeonatoBrasileiroSérieA,2004,Brazil,125259.52,159410.83
BundesligaAustria,2016,Austria,143801.65,149637.66
BundesligaAustria,2014,Austria,90845.07,94607.57
BundesligaAustria,2012,Austria,129285.71,138792.26
BundesligaAustria,2010,Austria,113774.83,128293.54
BundesligaAustria,2009,Austria,61956.52,70504.31
BundesligaAustria,2006,Austria,49924.24,60693.69
BundesligaAustria,2005,Austria,125945.95,156589.37
BundesligaAustria,2004,Austria,33517.24,42655.53
BundesligaAustria,2003,Austria,13307.69,17278.19
BundesligaAustria,2002,Austria,36355.14,48292.39
BundesligaAustria,2001,Austria,93953.49,127421.24
BundesligaAustria,2000,Austria,88290.6,122813.48
Bundesliga,2018,Germany,1780000.0,1807781.02
Bundesliga,2017,Germany,2289683.54,2356691.68
Bundesliga,2016,Germany,2273198.65,2365453.6
Bundesliga,2015,Germany,1618259.39,1688153.56
Bundesliga,2014,Germany,1269931.03,1322527.32
Bundesliga,2013,Germany,1134758.36,1191772.14
Bundesliga,2012,Germany,951019.74,1020949.44
Bundesliga,2011,Germany,805869.57,888963.92
Bundesliga,2010,Germany,803721.8,906284.0
Bundesliga,2009,Germany,1074061.14,1222243.22
Bundesliga,2008,Germany,830681.82,960939.46
Bundesliga,2007,Germany,1108204.08,1321788.85
Bundesliga,2006,Germany,712955.67,866751.52
Bundesliga,2005,Germany,495936.07,616600.39
Bundesliga,2004,Germany,414106.28,527010.08
Bundesliga,2003,Germany,435154.64,564987.77
Bundesliga,2002,Germany,746234.57,991261.52
Bundesliga,2001,Germany,1114303.03,1511235.83
Bundesliga,2000,Germany,679649.12,945401.59
